query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,4,3,True,0.4758266000000013
2,ming,4,3,True,0.033635996000001
3,ming,3,2,True,0.0035882779999987235
4,ming,4,3,True,0.06324634099999926
5,ming,4,3,True,0.010456055000000575
6,ming,5,4,True,0.018667372999999543
7,ming,2,1,True,0.05819118199999984
8,ming,6,5,True,0.12488582199999954
9,ming,2,1,True,0.006888962999999748
10,ming,3,2,True,0.003420562999998822
11,ming,4,3,True,0.03613862199999929
12,ming,4,3,True,0.02831193499999962
13,ming,16,6,True,0.07258739200000086
14,ming,81,10,True,0.27818487100000056
15,ming,2,1,True,0.007314105000000737
16,ming,2,1,True,0.013362734999999404
17,ming,3,2,True,0.02699889399999833
18,ming,727,7,True,0.7420901509999993
19,ming,6,4,True,0.027980562999999847
20,ming,2,1,True,0.01175868999999885
21,ming,3,2,True,0.14042283500000075
22,ming,5,4,True,0.08825392699999846
23,ming,2,1,True,0.047431501000000154
24,ming,3,2,True,0.014034384000000344
25,ming,3,2,True,0.009646050000000628
26,ming,6,3,True,0.028870846000000228
27,ming,9,7,True,0.1734425159999997
28,ming,4,3,True,0.02641177699999986
29,ming,4,3,True,0.03518265599999992
30,ming,5,4,True,0.024420466000000474
31,ming,4,3,True,0.027698511999998843
32,ming,564498,10,True,37.957008009
33,ming,13,11,True,0.7215810499999975
34,ming,3,2,True,0.026803021999995735
35,ming,4,3,True,0.006902709000002005
36,ming,95,12,True,0.19520580300000034
37,ming,6,5,True,0.02268654699999928
38,ming,8,3,True,0.010510027999998783
39,ming,5,4,True,0.010165629999995929
40,ming,1281,8,True,0.663032280000003
41,ming,5,4,True,0.05993476700000144
42,ming,6,5,True,0.0001821839999962549
43,ming,2,1,True,0.049734112999999525
44,ming,4,3,True,0.02606275699999827
45,ming,4,3,True,0.052559217999998964
46,ming,5,4,True,0.023799918000001696
47,ming,13,1,True,0.018102702000000193
48,ming,4,3,True,0.05257881499999684
49,ming,4,3,True,0.009613375000000701
50,ming,3,2,True,0.008840139000000136
51,ming,8,4,True,0.053030925999998146
52,ming,5,4,True,0.01251216600000049
53,ming,2,1,True,0.049566255000002
54,ming,13,1,True,0.006833994000004395
55,ming,5,4,True,0.011892635999998902
56,ming,265,9,True,0.27845720199999846
57,ming,2,1,True,8.795000000105802e-05
58,ming,5,4,True,0.021925025000001597
59,ming,2,1,True,0.05130322699999823
60,ming,9,4,True,0.030580155999999192
61,ming,4,3,True,0.0036962309999992726
62,ming,8,7,True,0.06687575399999446
63,ming,2,1,True,0.048545869999998104
64,ming,4,3,True,0.03830259699999772
65,ming,2,1,True,0.011378926000006118
66,ming,14,4,True,0.019377929999997434
67,ming,2,1,True,9.05989999964163e-05
68,ming,2,1,True,0.006414830000004201
69,ming,15,5,True,0.25966306300000497
70,ming,7,4,True,0.016184199000001342
71,ming,4,3,True,0.05138954400000273
72,ming,3,2,True,0.01400098099999525
73,ming,791,9,True,1.0980843229999948
74,ming,2,1,True,8.33359999958816e-05
75,ming,5,4,True,0.006296767000002035
76,ming,2,1,True,7.4916999999175e-05
77,ming,3,2,True,0.018345473000003665
78,ming,3,2,True,0.05150082099999764
79,ming,2,1,True,0.04825975099999624
80,ming,3,2,True,0.007949332000002585
81,ming,13,3,True,0.07770021399999649
82,ming,9,8,True,0.3567069260000011
83,ming,32,8,True,0.5296780589999983
84,ming,11,3,True,0.0821921420000038
85,ming,2,1,True,0.05650781800000004
86,ming,167,9,True,0.42049730299999766
87,ming,4,3,True,0.0030992589999954134
88,ming,5,4,True,0.023650827000004426
89,ming,3,2,True,0.0017597100000017463
90,ming,4,3,True,0.00834609700000044
91,ming,4,3,True,0.01184863699999994
92,ming,3,2,True,0.0031700799999967444
93,ming,2,1,True,0.021513144000003592
94,ming,4,3,True,0.08235427900000047
95,ming,8338,3,True,0.7019172030000007
96,ming,3,2,True,0.008157314000001747
97,ming,6374,13,True,1.4576860170000003
98,ming,2,1,True,0.00011052400000011176
99,ming,222,10,True,0.30591696500000154
100,ming,5,4,True,0.014227443000002893
