query,std reasoner,std nodes explored,std min depth,success,time
1,std,6,5,True,0.00048197499999957927
2,std,4,3,True,0.000855352000000309
3,std,3,2,True,0.00028933999999924964
4,std,4,3,True,0.0004673280000000446
5,std,4,3,True,0.0003633839999999111
6,std,5,4,True,0.00037833699999989534
7,std,2,1,True,0.0004480410000002877
8,std,4,3,True,0.00033560099999974113
9,std,2,1,True,0.00031201100000011195
10,std,3,2,True,0.00028530300000007003
11,std,4,3,True,0.0011732770000003612
12,std,4,3,True,0.0008236390000000426
13,std,26,7,True,0.0013002839999991522
14,std,76,10,True,0.006764140999999668
15,std,2,1,True,0.0002831739999997751
16,std,2,1,True,0.00015994600000013293
17,std,3,2,True,0.00036974799999978103
18,std,85,7,True,0.009623417000000245
19,std,6,4,True,0.0011630720000006534
20,std,2,1,True,0.0001281269999999779
21,std,3,2,True,0.0003734230000000949
22,std,23,4,True,0.004491654000000622
23,std,2,1,True,0.00043605200000040867
24,std,3,2,True,0.0003686430000007235
25,std,3,2,True,0.00035235099999919584
26,std,4,3,True,0.0004895129999997749
27,std,168,8,True,0.022051294999999804
28,std,4,3,True,0.0006577569999999255
29,std,4,3,True,0.0005557840000003367
30,std,5,4,True,0.00039044399999976775
31,std,4,3,True,0.001215808000000429
32,std,73,8,True,0.0032746870000002204
33,std,1165,12,True,0.22132661900000006
34,std,3,2,True,0.00041349900000042794
35,std,15,3,True,0.0012437719999995878
36,std,13,12,True,0.003766332999999733
37,std,6,5,True,0.00037456700000060295
38,std,8,3,True,0.0003976320000003142
39,std,23,4,True,0.00025295699999983157
40,std,13,10,True,0.001318501000000083
41,std,63,4,True,0.008175177000000033
42,std,7,5,True,0.0004089689999995372
43,std,2,1,True,0.0004168059999996032
44,std,5,3,True,0.0001705940000000794
45,std,4,3,True,0.0004573869999999758
46,std,5,4,True,0.0005394350000003101
47,std,2,1,True,0.00030324799999981167
48,std,4,3,True,0.00046872900000050066
49,std,4,3,True,0.0003298810000007535
50,std,5,2,True,0.0006508240000000498
51,std,13,4,True,0.0013143280000003088
52,std,5,4,True,0.00032023600000030683
53,std,2,1,True,0.0003962350000001891
54,std,2,1,True,0.0002756540000001806
55,std,18,5,True,0.0007808409999991994
56,std,272,9,True,0.012216013000000636
57,std,2,1,True,4.810199999916165e-05
58,std,5,4,True,0.00011946799999940083
59,std,2,1,True,0.0004089320000000285
60,std,3,2,True,0.0005348410000003412
61,std,4,3,True,9.510599999984493e-05
62,std,9,8,True,0.0006738390000000649
63,std,2,1,True,0.0005826710000000901
64,std,4,3,True,0.00035740399999983907
65,std,2,1,True,0.0002943509999999705
66,std,5,4,True,0.00014867000000062802
67,std,2,1,True,4.237899999992578e-05
68,std,2,1,True,0.00026903200000027994
69,std,21,5,True,0.0014133980000003987
70,std,5,4,True,0.0008209580000002603
71,std,4,3,True,0.0006226420000006172
72,std,3,2,True,0.00036720499999987055
73,std,83,10,True,0.006338139999999548
74,std,2,1,True,5.180700000018135e-05
75,std,5,4,True,0.00012400799999934264
76,std,2,1,True,0.0005875069999996541
77,std,3,2,True,0.00037086699999999695
78,std,3,2,True,0.0004395490000002056
79,std,2,1,True,0.00040247999999998285
80,std,3,2,True,0.0002992500000003062
81,std,4,3,True,0.003422471000000371
82,std,12,11,True,0.00279255299999992
83,std,26,9,True,0.004401123000000062
84,std,4,3,True,0.0004274189999993183
85,std,2,1,True,0.00041609500000028277
86,std,13,9,True,0.0011242520000003253
87,std,4,3,True,0.00010137599999993085
88,std,5,4,True,0.0001529209999997505
89,std,3,2,True,0.000300181000000066
90,std,4,3,True,0.00049795099999983
91,std,4,3,True,8.331800000060952e-05
92,std,3,2,True,0.00028676799999960423
93,std,2,1,True,0.0001768920000007057
94,std,8,3,True,0.0009415859999997167
95,std,4,3,True,0.0003258080000003716
96,std,3,2,True,0.0003625629999994828
97,std,474,13,True,0.019325740000000202
98,std,2,1,True,5.1434999999599995e-05
99,std,358,10,True,0.018094139000000453
100,std,11,4,True,0.00024486200000062297
