query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,10,3,True,0.5301936640000005
2,ming,18,3,True,0.05737685899999967
3,ming,3,2,True,0.005274327000000412
4,ming,4,3,True,0.08509362500000073
5,ming,6,5,True,0.17237762799999956
6,ming,5,4,True,0.025274366999999742
7,ming,2,1,True,0.08079707599999963
8,ming,4,3,True,0.013159890000000729
9,ming,2,1,True,0.009904683000000247
10,ming,3,2,True,0.005136267000001027
11,ming,4,3,True,0.03714536400000057
12,ming,18,3,True,0.06271174800000168
13,ming,11,7,True,0.09012751499999894
14,ming,10,9,True,0.6539720950000003
15,ming,4,3,True,0.02817875300000061
16,ming,2,1,True,0.017914192000000995
17,ming,3,2,True,0.04558868400000016
18,ming,38,5,True,0.5122932490000007
19,ming,5,4,True,0.046636530000000675
20,ming,2,1,True,0.019504883999999834
21,ming,3,2,True,0.04579191699999896
22,ming,5,4,True,0.13858922300000032
23,ming,2,1,True,0.08171310400000031
24,ming,8,4,True,0.1348950680000005
25,ming,3,2,True,0.01624312699999919
26,ming,4,3,True,0.04140657099999956
27,ming,5344,6,True,6.173497647
28,ming,18,3,True,0.03965236099999814
29,ming,4,3,True,0.045067040999999364
30,ming,5,4,True,0.041746069999998525
31,ming,18,3,True,0.06143172699999866
32,ming,649,10,True,1.1808913210000007
33,ming,12,11,True,0.7358147739999978
34,ming,3,2,True,0.025388714999998285
35,ming,15,3,True,0.007943569999998346
36,ming,828,12,True,0.4737561699999979
37,ming,5,3,True,0.05660588599999983
38,ming,6,3,True,0.015294039000000481
39,ming,14,4,True,0.0366465550000008
40,ming,188,7,True,0.6371344689999994
41,ming,4,3,True,0.09194178999999991
42,ming,5,3,True,0.0001686839999983647
43,ming,2,1,True,0.08625137299999963
44,ming,4,3,True,0.037762170000000594
45,ming,4,3,True,0.09005615400000266
46,ming,5,4,True,0.03695198499999819
47,ming,2,1,True,0.012849131999999486
48,ming,4,3,True,0.0925909400000009
49,ming,6,5,True,0.18954273599999993
50,ming,3,2,True,0.013045170000001605
51,ming,5,4,True,0.02446833000000126
52,ming,5,4,True,0.021566720000002704
53,ming,2,1,True,0.0788045920000009
54,ming,2,1,True,0.0104616139999969
55,ming,8,3,True,0.012131620999998205
56,ming,317,9,True,0.42064532700000257
57,ming,2,1,True,7.667899999930228e-05
58,ming,5,4,True,0.020088612999998645
59,ming,2,1,True,0.08750511499999902
60,ming,7,2,True,0.04893341900000081
61,ming,4,3,True,0.022147337999999905
62,ming,12,8,True,0.08660010800000251
63,ming,2,1,True,0.08704794599999843
64,ming,18,3,True,0.08080288699999727
65,ming,2,1,True,0.021695326999999764
66,ming,23,4,True,0.015344094999999669
67,ming,2,1,True,7.246299999863481e-05
68,ming,2,1,True,0.011245688999999004
69,ming,22,5,True,0.40656569299999745
70,ming,9,4,True,0.04967160100000001
71,ming,4,3,True,0.08881130500000012
72,ming,3,2,True,0.02478628999999799
73,ming,799,10,True,0.35375601399999823
74,ming,2,1,True,7.923700000134204e-05
75,ming,5,4,True,0.005935104000002411
76,ming,2,1,True,7.906000000090785e-05
77,ming,3,2,True,0.01690793299999882
78,ming,3,2,True,0.04725576200000248
79,ming,2,1,True,0.07122067499999929
80,ming,3,2,True,0.012849317999997112
81,ming,4,3,True,0.09494964199999956
82,ming,25,8,True,0.3900135440000021
83,ming,24,8,True,0.42842076900000237
84,ming,4,3,True,0.08592389400000044
85,ming,2,1,True,0.07114204100000165
86,ming,186,9,True,0.2815976049999982
87,ming,4,3,True,0.011456092999999612
88,ming,5,4,True,0.012601286999998962
89,ming,3,2,True,0.0020135080000009964
90,ming,645673,3,True,24.481326916
91,ming,4,3,True,0.0017254110000024525
92,ming,3,2,True,0.003545265999996161
93,ming,2,1,True,0.019202724999999532
94,ming,5,3,True,0.057751862000003484
95,ming,4,3,True,0.005746467000001587
96,ming,3,2,True,0.006310345000002826
97,ming,5348,13,True,1.4506386199999994
98,ming,2,1,True,9.897400000369316e-05
99,ming,471,10,True,0.47473137899999784
100,ming,8,4,True,0.01271968700000059
