query,std reasoner,std nodes explored,std min depth,success,time
1,std,6,5,True,0.0004671110000007417
2,std,4,3,True,0.000817774000000604
3,std,3,2,True,0.0002816600000006275
4,std,4,3,True,0.0004513309999998327
5,std,4,3,True,0.00035616899999979523
6,std,5,4,True,0.0003641789999999645
7,std,2,1,True,0.00043512000000056616
8,std,4,3,True,0.0003254919999999828
9,std,2,1,True,0.0002981450000003605
10,std,3,2,True,0.0002687430000003488
11,std,4,3,True,0.0011435479999999387
12,std,4,3,True,0.0007874880000002804
13,std,26,7,True,0.0012394179999999366
14,std,76,10,True,0.006378439000000569
15,std,2,1,True,0.0002666519999996453
16,std,2,1,True,0.00016025800000019075
17,std,3,2,True,0.00035061500000033163
18,std,85,7,True,0.009749633999999396
19,std,6,4,True,0.001111481999999775
20,std,2,1,True,0.00012362200000026746
21,std,3,2,True,0.0003582659999992188
22,std,23,4,True,0.004237618000000332
23,std,2,1,True,0.00041651699999967207
24,std,3,2,True,0.0003544460000002303
25,std,3,2,True,0.00034361599999943593
26,std,4,3,True,0.0004366209999995263
27,std,168,8,True,0.019725132999999673
28,std,4,3,True,0.0006259269999997485
29,std,4,3,True,0.000532865000000271
30,std,5,4,True,0.0003851389999995902
31,std,4,3,True,0.0011666610000000688
32,std,73,8,True,0.003098818999999864
33,std,1165,12,True,0.1912386030000004
34,std,3,2,True,0.00043043300000000784
35,std,15,3,True,0.0012569789999998804
36,std,13,12,True,0.0037264260000000604
37,std,6,5,True,0.0003550949999997499
38,std,8,3,True,0.000379043999999773
39,std,23,4,True,0.0002771049999994446
40,std,13,10,True,0.0013043929999998483
41,std,63,4,True,0.008136922000000268
42,std,7,5,True,0.000416382999999243
43,std,2,1,True,0.0004004470000005256
44,std,5,3,True,0.0001742579999994831
45,std,4,3,True,0.0004752210000003032
46,std,5,4,True,0.0005455709999999669
47,std,2,1,True,0.0003295840000001604
48,std,4,3,True,0.00047811700000011115
49,std,4,3,True,0.00033551200000037085
50,std,5,2,True,0.0006834129999999661
51,std,13,4,True,0.0013224330000003448
52,std,5,4,True,0.0003262969999999754
53,std,2,1,True,0.0004112660000004098
54,std,2,1,True,0.000284981000000073
55,std,18,5,True,0.0007900620000000913
56,std,272,9,True,0.014591886999999915
57,std,2,1,True,6.394600000003692e-05
58,std,5,4,True,0.00013176899999933767
59,std,2,1,True,0.0004174570000001765
60,std,3,2,True,0.0005412929999994986
61,std,4,3,True,0.00010360699999978351
62,std,9,8,True,0.0006842259999997324
63,std,2,1,True,0.0005877469999999718
64,std,4,3,True,0.00036454800000029763
65,std,2,1,True,0.00028804100000012767
66,std,5,4,True,0.00015793599999991415
67,std,2,1,True,4.768300000002057e-05
68,std,2,1,True,0.0002767419999996079
69,std,21,5,True,0.0014370689999996245
70,std,5,4,True,0.0008484439999998372
71,std,4,3,True,0.0006426399999996946
72,std,3,2,True,0.0003765360000000939
73,std,83,10,True,0.006387276999999969
74,std,2,1,True,5.393200000014531e-05
75,std,5,4,True,0.0001311050000003533
76,std,2,1,True,0.0005942350000003316
77,std,3,2,True,0.00038945300000037264
78,std,3,2,True,0.0004423449999997331
79,std,2,1,True,0.00041469800000015766
80,std,3,2,True,0.0003043560000000056
81,std,4,3,True,0.0036367969999995253
82,std,12,11,True,0.002177190000000273
83,std,26,9,True,0.0072599410000000475
84,std,4,3,True,0.0007741440000001987
85,std,2,1,True,0.0007539930000000084
86,std,13,9,True,0.0019967129999995947
87,std,4,3,True,0.00016277799999997455
88,std,5,4,True,0.0002580080000003093
89,std,3,2,True,0.0005401760000003364
90,std,4,3,True,0.0008715740000004857
91,std,4,3,True,0.0001319139999997887
92,std,3,2,True,0.0005214289999999622
93,std,2,1,True,0.00031729799999968833
94,std,8,3,True,0.0017379579999996508
95,std,4,3,True,0.000573998000000131
96,std,3,2,True,0.0006864710000007435
97,std,474,13,True,0.0238317290000003
98,std,2,1,True,5.4601000000431554e-05
99,std,358,10,True,0.016281962999999955
100,std,11,4,True,0.00023900399999998712
