goal	rule	score
member_of(_EX2, dumbledores_army)	member_of(ginny_weasley, dumbledores_army)	1
enemy(P, _EX2)	enemy(X, Y) :- member_of(X, death_eaters), member_of(Y, dumbledores_army)	1
member_of(X, dumbledores_army)	member_of(seamus_finnigan, dumbledores_army)	1
male(_EX2)	male(seamus_finnigan)	1
member_of(draco_malfoy, death_eaters)	member_of(draco_malfoy, death_eaters)	1
house(gryffindor, _EX2)	house(gryffindor, percy_weasley)	1
member_of(_EX5, death_eaters)	member_of(narcissa_malfoy, death_eaters)	1
muggleborn(_EX0)	muggleborn(colin_creevey)	1
house(gryffindor, _EX2)	house(gryffindor, lily_potter)	1
betrays(P, remus_lupin)	betrays(peter_pettigrew, remus_lupin)	1
parent(P, X)	parent(harry_potter, albus_severus_potter)	1
muggle(_EX3)	muggle(dudley_dursley)	1
enemy(P, Z)	enemy(X, Y) :- member_of(X, death_eaters), member_of(Y, dumbledores_army)	1
parent(Z, P)	parent(lily_potter, harry_potter)	1
wizard(P)	wizard(X) :- male(X), muggleborn(X)	1
house(gryffindor, P)	house(gryffindor, sirius_black)	1
parent(_EX2, P)	parent(arthur_weasley, fred_weasley)	1
wizard(P)	wizard(X) :- male(X), half_blood(X)	1
parent(_EX3, Y)	parent(molly_weasley, george_weasley)	1
house(gryffindor, _EX1)	house(gryffindor, parvati_patil)	1
member_of(_EX1, death_eaters)	member_of(peter_pettigrew, death_eaters)	1
parent(P, _EX4)	parent(arthur_weasley, fred_weasley)	1
parent(_EX2, P)	parent(ginny_weasley, james_sirius_potter)	1
pure_blood(P)	pure_blood(ron_weasley)	1
parent(Z, _EX3)	parent(ginny_weasley, james_sirius_potter)	1
ancestor(P, Y)	ancestor(X, Y) :- parent(X, Y)	1
parent(P, _EX5)	parent(hermione_granger, rose_weasley)	1
teaches(P, X)	teaches(remus_lupin, defense_against_the_dark_arts)	1
ancestor(P, neville_longbottom)	ancestor(X, Y) :- parent(X, Y)	1
male(P)	male(alastor_moody)	1
parent(P, _EX3)	parent(xenophilius_lovegood, luna_lovegood)	1
parent(X, P)	parent(hermione_granger, rose_weasley)	1
teaches(P, X)	teaches(severus_snape, defense_against_the_dark_arts)	1
pure_blood(P)	pure_blood(narcissa_malfoy)	1
parent(P, _EX4)	parent(molly_weasley, george_weasley)	1
half_blood(harry_potter)	half_blood(harry_potter)	1
magical(thestral)	magical(thestral)	1
parent(Z, _EX3)	parent(molly_weasley, ron_weasley)	1
parent(P, Z)	parent(lily_potter, harry_potter)	1
male(_EX2)	male(hugo_weasley)	1
female(_EX0)	female(dolores_umbridge)	1
parent(X, _EX3)	parent(arthur_weasley, ginny_weasley)	1
pure_blood(P)	pure_blood(george_weasley)	1
member_of(_EX5, dumbledores_army)	member_of(neville_longbottom, dumbledores_army)	1
house(slytherin, _EX1)	house(slytherin, gregory_goyle)	1
parent(P, _EX5)	parent(arthur_weasley, ginny_weasley)	1
parent(harry_potter, _EX5)	parent(harry_potter, james_sirius_potter)	1
parent(Z, P)	parent(frank_longbottom, neville_longbottom)	1
male(_EX2)	male(neville_longbottom)	1
parent(Z, P)	parent(arthur_weasley, ron_weasley)	1
member_of(P, order_of_the_phoenix)	member_of(arthur_weasley, order_of_the_phoenix)	1
enemy(P, Z)	enemy(draco_malfoy, harry_potter)	1
male(P)	male(regulus_black)	1
member_of(_EX1, death_eaters)	member_of(bellatrix_lestrange, death_eaters)	1
parent(X, _EX3)	parent(harry_potter, lily_luna_potter)	1
parent(_EX3, Y)	parent(petunia_dursley, dudley_dursley)	1
parent(_EX2, Z)	parent(frank_longbottom, neville_longbottom)	1
parent(X, P)	parent(arthur_weasley, ginny_weasley)	1
house(slytherin, _EX2)	house(slytherin, tom_riddle)	1
enemy(_EX4, seamus_finnigan)	enemy(X, Y) :- member_of(X, death_eaters), member_of(Y, dumbledores_army)	1
parent(X, P)	parent(molly_weasley, fred_weasley)	1
parent(_EX2, Z)	parent(james_potter, harry_potter)	1
parent(_EX2, Z)	parent(ginny_weasley, james_sirius_potter)	1
hates(narcissa_malfoy, _EX1)	hates(X, Y) :- deatheater(X), squib(Y)	1
member_of(_EX3, dumbledores_army)	member_of(cho_chang, dumbledores_army)	1
hates(P, _EX3)	hates(X, Y) :- deatheater(X), squib(Y)	1
member_of(severus_snape, order_of_the_phoenix)	member_of(severus_snape, order_of_the_phoenix)	1
member_of(_EX3, dumbledores_army)	member_of(seamus_finnigan, dumbledores_army)	1
male(P)	male(gregory_goyle)	1
enemy(X, P)	enemy(marge_dursley, harry_potter)	1
muggle(_EX1)	muggle(vernon_dursley)	1
male(_EX2)	male(sirius_black)	1
member_of(_EX2, death_eaters)	member_of(narcissa_malfoy, death_eaters)	1
member_of(P, death_eaters)	member_of(draco_malfoy, death_eaters)	1
male(P)	male(filius_flitwick)	1
