goal	rule	score
muggle(_EX5)	muggle(marge_dursley)	1
member_of(_EX1, death_eaters)	member_of(voldemort, death_eaters)	1
enemy(P, X)	enemy(voldemort, hermione_granger)	1
parent(P, ginny_weasley)	parent(molly_weasley, ginny_weasley)	1
parent(Z, Y)	parent(ginny_weasley, james_sirius_potter)	1
ancestor(ron_weasley, X)	ancestor(X, Y) :- parent(X, Y)	1
enemy(P, X)	enemy(X, Y) :- member_of(X, order_of_the_phoenix), member_of(Y, death_eaters)	1
member_of(_EX2, dumbledores_army)	member_of(colin_creevey, dumbledores_army)	1
house(P, X)	house(slytherin, voldemort)	1
parent(Y, P)	parent(frank_longbottom, neville_longbottom)	1
enemy(P, X)	enemy(vernon_dursley, harry_potter)	1
parent(P, _EX3)	parent(molly_weasley, bill_weasley)	1
house(P, X)	house(slytherin, horace_slughorn)	1
member_of(_EX1, dumbledores_army)	member_of(luna_lovegood, dumbledores_army)	1
parent(ginny_weasley, X)	parent(ginny_weasley, james_sirius_potter)	1
betrays(Y, P)	betrays(percy_weasley, ron_weasley)	1
enemy(P, _EX3)	enemy(draco_malfoy, hermione_granger)	1
parent(Z, P)	parent(hermione_granger, rose_weasley)	1
parent(X, Y)	parent(james_potter, harry_potter)	1
creature(thestral)	creature(thestral)	1
parent(ron_weasley, X)	parent(ron_weasley, hugo_weasley)	1
betrays(Y, P)	betrays(percy_weasley, george_weasley)	1
enemy(_EX2, _EX0)	enemy(petunia_dursley, harry_potter)	1
enemy(X, Y)	enemy(draco_malfoy, harry_potter)	1
member_of(_EX1, order_of_the_phoenix)	member_of(alastor_moody, order_of_the_phoenix)	1
enemy(P, _EX3)	enemy(petunia_dursley, harry_potter)	1
enemy(X, Y)	enemy(X, Y) :- member_of(X, order_of_the_phoenix), member_of(Y, death_eaters)	1
member_of(alastor_moody, order_of_the_phoenix)	member_of(alastor_moody, order_of_the_phoenix)	1
enemy(X, P)	enemy(dudley_dursley, harry_potter)	1
ancestor(harry_potter, _EX3)	ancestor(X, Y) :- parent(X, Y)	1
