query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,2,1,True,0.48469802500000014
2,ming,8,7,True,0.08645812700000022
3,ming,1635,5,True,0.3685238169999998
4,ming,4,3,True,0.05749211800000076
5,ming,2,1,True,0.02092174600000085
6,ming,5,2,True,0.022060795999999883
7,ming,5,4,True,0.021463625000000874
8,ming,4,3,True,0.05679323400000058
9,ming,5,4,True,0.08890251699999929
10,ming,4,3,True,0.043380430000000914
11,ming,3,2,True,0.033085587000000416
12,ming,3,2,True,0.00011198700000036865
13,ming,7,6,True,0.04243752200000017
14,ming,7,6,True,0.037270068000001544
15,ming,2,1,True,0.02790511300000098
16,ming,5,4,True,0.04916052999999998
17,ming,21,15,True,0.12915123500000014
18,ming,2,1,True,0.02632875099999943
19,ming,2,1,True,7.664500000004182e-05
20,ming,6,5,True,0.1755111290000002
21,ming,5,4,True,0.048853390999999746
22,ming,3,2,True,0.0021646689999990087
23,ming,2,1,True,6.601099999947735e-05
24,ming,2,1,True,0.008221709000000743
25,ming,5,4,True,0.056528758999998985
26,ming,2,1,True,0.017432488999999052
27,ming,21,15,True,0.12987802099999968
28,ming,21,15,True,0.12356299400000026
29,ming,3,2,True,0.03168130299999916
30,ming,3,2,True,0.031900567999999296
31,ming,2,1,True,0.03296039900000025
32,ming,2,1,True,0.026019485999999148
33,ming,3,2,True,0.012052612999999823
34,ming,6,5,True,0.12657254299999998
35,ming,4,3,True,0.021312019999999876
36,ming,2,1,True,8.761600000006808e-05
37,ming,31918,7,True,4.881980314
38,ming,48,15,True,0.6344575469999985
39,ming,2,1,True,0.02621105000000057
40,ming,2,1,True,0.03151136099999974
41,ming,2,1,True,0.03592509799999988
42,ming,2,1,True,7.93859999994595e-05
43,ming,3,2,True,0.038681305999997306
44,ming,4,3,True,0.032564456999999436
45,ming,4,3,True,0.011510777999998112
46,ming,3,2,True,0.03835856599999943
47,ming,3,2,True,9.767399999915938e-05
48,ming,2,1,True,0.033059149999999704
49,ming,3,2,True,0.005821720000000141
50,ming,13,12,True,0.15707835300000283
51,ming,4,3,True,0.010903805999998184
52,ming,4,3,True,0.006632923000001512
53,ming,2438,4,True,0.4308666989999992
54,ming,3,2,True,0.0013340890000002048
55,ming,19,8,True,0.3921595809999978
56,ming,5,4,True,0.022376684000001035
57,ming,2,1,True,0.02545333200000144
58,ming,3,2,True,0.030643995999998452
59,ming,2,1,True,0.02552657100000033
60,ming,3,2,True,0.00010063500000256909
61,ming,5,4,True,0.02659428099999772
62,ming,2438,4,True,0.18759773100000032
63,ming,3,2,True,0.005806357999997402
64,ming,5,4,True,0.05838837599999991
65,ming,2,1,True,0.019783062000001905
66,ming,2,1,True,8.056799999778264e-05
67,ming,4,3,True,0.03645662199999933
68,ming,3,2,True,0.027608313000001772
69,ming,1000,3,True,0.2932606870000001
70,ming,4,3,True,0.00651052499999949
71,ming,2,1,True,7.436500000324031e-05
72,ming,3,2,True,0.006962333000000598
73,ming,2,1,True,0.02535741000000158
74,ming,3,2,True,0.00012036399999715286
75,ming,1000000,0,False,65.345974309
76,ming,8,7,True,0.05944544699998744
77,ming,2,1,True,0.032445101000007526
78,ming,2,1,True,0.04042180500000825
79,ming,6,5,True,0.022840642999994998
80,ming,3,2,True,9.940999999002997e-05
81,ming,2,1,True,6.098400000098536e-05
82,ming,7,6,True,0.0001626179999902888
83,ming,2,1,True,0.03307000099999868
84,ming,3,2,True,0.003288831999995523
85,ming,2,1,True,7.453599999962535e-05
86,ming,6,5,True,0.06215890699999704
87,ming,3,2,True,0.0001245589999996355
88,ming,3,2,True,0.00010150600000713439
89,ming,5,4,True,0.0621544560000018
90,ming,6,5,True,0.08933429599998988
91,ming,39,2,True,0.051404161000007775
92,ming,7,6,True,0.05858638899999846
93,ming,7,6,True,0.0001996950000062725
94,ming,2,1,True,0.006145447999998055
95,ming,3,2,True,0.009387298999996574
96,ming,2,1,True,0.02605466499998954
97,ming,2,1,True,0.027209106000000816
98,ming,4,3,True,0.037034417000000985
99,ming,34734,2,True,2.937654193
100,ming,5,4,True,0.012667844999995737
