query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.000291649000000227
2,std,8,7,True,0.0014034560000002472
3,std,19,5,True,0.003648479999999843
4,std,4,3,True,0.0004890049999994872
5,std,2,1,True,0.0001857439999994881
6,std,4,2,True,0.0004887220000000525
7,std,6,4,True,0.0015622350000006335
8,std,4,3,True,0.0004344529999995572
9,std,6,4,True,0.0010875640000005404
10,std,6,3,True,0.0007217219999997582
11,std,8,7,True,0.001104223999999654
12,std,8,7,True,9.671100000030464e-05
13,std,7,6,True,0.0013867819999999753
14,std,8,7,True,0.0003769510000006804
15,std,2,1,True,0.00026135700000029516
16,std,10,4,True,0.0017200769999998755
17,std,21,15,True,0.0036164919999999157
18,std,2,1,True,0.00028869099999973
19,std,2,1,True,4.363299999976533e-05
20,std,516,5,True,0.06171196499999976
21,std,5,4,True,0.0007057499999998385
22,std,3,2,True,0.00031516600000003336
23,std,2,1,True,0.0001824289999996509
24,std,2,1,True,0.00020520500000031916
25,std,4650,6,True,0.353666767
26,std,2,1,True,0.00018931099999974776
27,std,21,15,True,0.0030186249999992754
28,std,21,15,True,0.0029917030000001787
29,std,8,7,True,0.00045046800000037024
30,std,8,7,True,0.00035476100000053634
31,std,2,1,True,0.00038276100000000923
32,std,2,1,True,0.0003941140000005561
33,std,3,2,True,0.0004187189999997898
34,std,10855,7,True,0.3361988129999993
35,std,4,3,True,0.0004954740000009394
36,std,2,1,True,4.754599999934328e-05
37,std,10,9,True,0.0009179680000013235
38,std,24,15,True,0.0037614050000005506
39,std,2,1,True,0.0002897659999998581
40,std,2,1,True,0.00026360499999888987
41,std,2,1,True,0.0003506880000010426
42,std,2,1,True,4.386600000039209e-05
43,std,8,7,True,0.0003529950000000781
44,std,4,3,True,0.0005411570000006805
45,std,12,3,True,0.0034671379999995366
46,std,8,7,True,0.00037117299999955833
47,std,8,7,True,9.377599999993436e-05
48,std,2,1,True,0.0002658600000007283
49,std,3,2,True,0.0005443120000006019
50,std,14,13,True,0.0016150679999995532
51,std,4,3,True,0.0006743409999998562
52,std,17,3,True,0.002706822000000386
53,std,105,9,True,0.004969686999999112
54,std,3,2,True,0.00039591900000068847
55,std,110,14,True,0.001998804999999493
56,std,5,4,True,0.0007808799999988736
57,std,2,1,True,0.00027857200000092064
58,std,8,7,True,0.0003582229999992137
59,std,2,1,True,0.0004176529999995182
60,std,8,7,True,9.988099999880262e-05
61,std,5,4,True,0.0009071519999999111
62,std,10,9,True,0.0006001969999989143
63,std,3,2,True,0.0005135149999997424
64,std,13,4,True,0.0023841810000000407
65,std,2,1,True,0.00019528499999843518
66,std,2,1,True,4.3531000001095776e-05
67,std,6,3,True,0.0006998109999987179
68,std,8,7,True,0.00036301699999974346
69,std,6,3,True,0.0009895110000002205
70,std,4,3,True,0.00043447100000015837
71,std,2,1,True,0.0002559190000006595
72,std,73,2,True,0.008198539000000338
73,std,2,1,True,0.00031279000000061785
74,std,8,7,True,0.00010379899999968245
75,std,2644,6,True,0.25907407700000107
76,std,8,7,True,0.000781281000000078
77,std,2,1,True,0.00030107800000145346
78,std,2,1,True,0.0034432259999999104
79,std,195,5,True,0.005835972999999939
80,std,8,7,True,0.00011336699999908717
81,std,2,1,True,4.324400000044193e-05
82,std,8,7,True,8.868399999961696e-05
83,std,2,1,True,0.00026847499999860247
84,std,3,2,True,0.0005427610000001692
85,std,2,1,True,0.00016426300000027538
86,std,6,5,True,0.0010286819999993924
87,std,8,7,True,0.00010182000000114044
88,std,8,7,True,9.682700000013256e-05
89,std,105,9,True,0.001649826999999604
90,std,49,5,True,0.008367484000000758
91,std,41,2,True,0.0066408360000007605
92,std,204,6,True,0.008382356000000257
93,std,8,7,True,0.00011356400000117617
94,std,2,1,True,0.00025443100000011043
95,std,4,2,True,0.000647707000000608
96,std,2,1,True,0.0002901680000011453
97,std,2,1,True,0.00028040499999981705
98,std,6,3,True,0.0005623620000001495
99,std,3,2,True,0.0004516140000010438
100,std,6,5,True,0.000501633000000723
