query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,2,1,True,0.4422921449999997
2,ming,8,7,True,0.04314285299999909
3,ming,1635,5,True,0.24861717799999994
4,ming,17,15,True,0.10171624600000051
5,ming,2,1,True,0.012210377000000605
6,ming,3,2,True,0.024232662999999377
7,ming,5,4,True,0.02176636899999984
8,ming,17,15,True,0.033599924999998976
9,ming,7,4,True,0.05463066999999988
10,ming,2709,3,True,0.34979841900000075
11,ming,32,15,True,0.03964458999999998
12,ming,32,15,True,0.0008945550000003522
13,ming,7,6,True,0.02334848799999989
14,ming,32,15,True,0.0032970089999988517
15,ming,2,1,True,0.018849308000000065
16,ming,23,4,True,0.04025517999999906
17,ming,21,15,True,0.0770611540000008
18,ming,2,1,True,0.016513984999999565
19,ming,2,1,True,7.09770000000276e-05
20,ming,6,5,True,0.11413050899999888
21,ming,5,4,True,0.021912306000000825
22,ming,3,2,True,0.0020240509999993606
23,ming,2,1,True,6.885900000064282e-05
24,ming,2,1,True,0.005175835999999379
25,ming,5,4,True,0.036361074000000215
26,ming,2,1,True,0.012285733000000576
27,ming,3,2,True,0.0054566069999992806
28,ming,21,15,True,0.07669070000000033
29,ming,32,15,True,0.0033251469999999728
30,ming,32,15,True,0.003364071000000024
31,ming,2,1,True,0.020697376999999406
32,ming,2,1,True,0.015913807999998753
33,ming,3,2,True,0.006203436999999923
34,ming,89931,5,True,7.507422525000001
35,ming,22,15,True,0.009417014000000279
36,ming,2,1,True,7.896299999998746e-05
37,ming,10,9,True,0.04428224400000147
38,ming,48,15,True,0.3452592259999996
39,ming,2,1,True,0.01577431899999837
40,ming,2,1,True,0.018462119999998805
41,ming,2,1,True,0.020321211999998923
42,ming,2,1,True,9.554000000022711e-05
43,ming,32,15,True,0.003292094999999051
44,ming,4,3,True,0.014014353000000312
45,ming,4,3,True,0.00567847499999985
46,ming,32,15,True,0.0032048479999993162
47,ming,32,15,True,0.0008477760000005219
48,ming,2,1,True,0.017810776000001027
49,ming,3,2,True,0.0034880810000004203
50,ming,172417,15,True,11.381534966999997
51,ming,4,3,True,0.0064304929999998706
52,ming,4,3,True,0.0031842629999978556
53,ming,304,15,True,0.03810179299999916
54,ming,3,2,True,0.0013907740000007607
55,ming,923,15,True,0.11632369799999864
56,ming,5,4,True,0.01993493799999868
57,ming,2,1,True,0.015898007000000547
58,ming,32,15,True,0.003471146999999064
59,ming,2,1,True,0.016140664000001692
60,ming,32,15,True,0.0009085810000009076
61,ming,32,15,True,0.11119358800000256
62,ming,304,15,True,0.035752130999998855
63,ming,3,2,True,0.003535267000000175
64,ming,5,4,True,0.03480226699999989
65,ming,2,1,True,0.011929886999997308
66,ming,2,1,True,9.129900000104385e-05
67,ming,2709,3,True,0.15285808099999798
68,ming,32,15,True,0.0009120060000000763
69,ming,4,3,True,0.030487909000001423
70,ming,4,3,True,0.013131960999999137
71,ming,2,1,True,9.818099999847618e-05
72,ming,3,2,True,0.0034668720000006203
73,ming,2,1,True,0.01613681999999983
74,ming,32,15,True,0.0009603959999999745
75,ming,270119,6,True,22.484400691999998
76,ming,8,7,True,0.03812925799999789
77,ming,2,1,True,0.016123790999998278
78,ming,2,1,True,0.020030103999999938
79,ming,32470,5,True,2.569272925
80,ming,32,15,True,0.0009949539999993817
81,ming,2,1,True,7.204599999965922e-05
82,ming,32,15,True,0.0008461639999950421
83,ming,2,1,True,0.019013794999999334
84,ming,3,2,True,0.0011944990000003486
85,ming,2,1,True,6.821999999573336e-05
86,ming,6,5,True,0.02490182999999746
87,ming,32,15,True,0.001436970000000315
88,ming,32,15,True,0.0008688430000063363
89,ming,304,15,True,0.03745935100000253
90,ming,19203,5,True,1.5408312700000053
91,ming,19,2,True,0.018290800000002605
92,ming,56662,6,True,5.325834612000001
93,ming,32,15,True,0.0011043270000001826
94,ming,2,1,True,0.003217984999999146
95,ming,3,2,True,0.0011670770000051789
96,ming,2,1,True,0.016054521000000932
97,ming,2,1,True,0.01644118699999808
98,ming,2709,3,True,0.1578403549999976
99,ming,3,2,True,0.0068149049999988165
100,ming,5,4,True,0.00616575499999783
