query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.00030133700000067876
2,std,8,7,True,0.0013961970000000434
3,std,19,5,True,0.003586340000000021
4,std,4,3,True,0.00047698000000018226
5,std,2,1,True,0.00017878500000012565
6,std,4,2,True,0.0004766390000003895
7,std,6,4,True,0.0015244980000002073
8,std,4,3,True,0.000433995000000742
9,std,6,4,True,0.0010729870000005803
10,std,6,3,True,0.0007122659999998504
11,std,8,7,True,0.0010938439999996774
12,std,8,7,True,9.790699999978614e-05
13,std,7,6,True,0.001370507999999937
14,std,8,7,True,0.0003715829999997311
15,std,2,1,True,0.0002545579999999603
16,std,10,4,True,0.0016831489999997729
17,std,21,15,True,0.003608569999999922
18,std,2,1,True,0.0002843249999999742
19,std,2,1,True,3.9738999999983093e-05
20,std,516,5,True,0.062296367000000075
21,std,5,4,True,0.0006935470000000166
22,std,3,2,True,0.00031372599999990314
23,std,2,1,True,0.00018244000000056104
24,std,2,1,True,0.00020421400000003587
25,std,4650,6,True,0.3644825110000003
26,std,2,1,True,0.0002033770000000601
27,std,21,15,True,0.0031615499999997354
28,std,21,15,True,0.0029940159999997107
29,std,8,7,True,0.0003542310000002047
30,std,8,7,True,0.00033811900000024764
31,std,2,1,True,0.00033217600000057246
32,std,2,1,True,0.0003692639999997027
33,std,3,2,True,0.00042400400000008887
34,std,10855,7,True,0.34178217400000044
35,std,4,3,True,0.0004943580000000836
36,std,2,1,True,4.6551999999699945e-05
37,std,10,9,True,0.0008909599999995521
38,std,24,15,True,0.0037376330000000735
39,std,2,1,True,0.0002865600000001578
40,std,2,1,True,0.0002610909999996025
41,std,2,1,True,0.0003433470000002714
42,std,2,1,True,4.815899999943696e-05
43,std,8,7,True,0.0003549810000000875
44,std,4,3,True,0.000542359999999853
45,std,12,3,True,0.003292560000000222
46,std,8,7,True,0.0003652589999996181
47,std,8,7,True,0.0001035549999999219
48,std,2,1,True,0.0002640189999993936
49,std,3,2,True,0.0005299450000002537
50,std,14,13,True,0.0015913940000000792
51,std,4,3,True,0.000658297999999391
52,std,17,3,True,0.002630292999999284
53,std,105,9,True,0.004801763999999764
54,std,3,2,True,0.0003722530000001001
55,std,110,14,True,0.0019416379999999123
56,std,5,4,True,0.0007705339999999339
57,std,2,1,True,0.00028040499999981705
58,std,8,7,True,0.0003419019999997275
59,std,2,1,True,0.0004121009999993319
60,std,8,7,True,9.400400000014741e-05
61,std,5,4,True,0.0009042550000000205
62,std,10,9,True,0.0006025349999996266
63,std,3,2,True,0.0005177239999998307
64,std,13,4,True,0.002319197999999467
65,std,2,1,True,0.00019567699999978316
66,std,2,1,True,4.3754000000006954e-05
67,std,6,3,True,0.0006937980000003563
68,std,8,7,True,0.00035253400000012647
69,std,6,3,True,0.0009799209999998837
70,std,4,3,True,0.00044076600000053645
71,std,2,1,True,0.0002453270000000174
72,std,73,2,True,0.0084923890000006
73,std,2,1,True,0.0002927129999994449
74,std,8,7,True,9.974700000014991e-05
75,std,2644,6,True,0.27268815600000007
76,std,8,7,True,0.0007699450000000496
77,std,2,1,True,0.0003059130000000465
78,std,2,1,True,0.002999754000001076
79,std,195,5,True,0.005835916999998858
80,std,8,7,True,0.00010855100000028983
81,std,2,1,True,4.302800000033358e-05
82,std,8,7,True,8.720800000006079e-05
83,std,2,1,True,0.00025467899999931376
84,std,3,2,True,0.0005261929999988979
85,std,2,1,True,0.0001578119999994243
86,std,6,5,True,0.0010177710000007778
87,std,8,7,True,9.762999999907152e-05
88,std,8,7,True,9.173900000014612e-05
89,std,105,9,True,0.0016148359999998974
90,std,49,5,True,0.00807906500000044
91,std,41,2,True,0.006540461000000164
92,std,204,6,True,0.00825298900000071
93,std,8,7,True,0.00010674199999982648
94,std,2,1,True,0.0002495160000002272
95,std,4,2,True,0.0006335609999990055
96,std,2,1,True,0.00028184700000011276
97,std,2,1,True,0.00027775800000107154
98,std,6,3,True,0.000537698000000475
99,std,3,2,True,0.000437202000000525
100,std,6,5,True,0.0004902139999991562
