query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,2,1,True,0.47569930999999954
2,ming,8,7,True,0.06778799599999985
3,ming,1635,5,True,0.3721176459999995
4,ming,4,3,True,0.06155222699999996
5,ming,2,1,True,0.020577862999999752
6,ming,3,2,True,0.022094863999999603
7,ming,5,4,True,0.019403386000000467
8,ming,4,3,True,0.0514260249999996
9,ming,7,4,True,0.09395293100000046
10,ming,3,2,True,0.00624478199999956
11,ming,7,6,True,0.03427633100000094
12,ming,7,6,True,0.0001523130000009587
13,ming,7,6,True,0.034751608000000545
14,ming,7,6,True,0.005607271999998886
15,ming,2,1,True,0.028021018000000453
16,ming,5,4,True,0.05131466799999984
17,ming,21,15,True,0.13650359199999862
18,ming,2,1,True,0.03200712800000005
19,ming,2,1,True,8.347700000044256e-05
20,ming,6,5,True,0.18131886900000005
21,ming,5,4,True,0.03148229399999991
22,ming,3,2,True,0.0032775429999993833
23,ming,2,1,True,8.205999999866265e-05
24,ming,2,1,True,0.008736910999999736
25,ming,5,4,True,0.04548728600000018
26,ming,2,1,True,0.01891688700000138
27,ming,3,2,True,0.009016626000001082
28,ming,21,15,True,0.12177632900000113
29,ming,7,6,True,0.004553950000000029
30,ming,7,6,True,0.0024643820000012084
31,ming,2,1,True,0.03279631599999888
32,ming,2,1,True,0.026353351000000913
33,ming,3,2,True,0.011930995000000166
34,ming,21,5,True,0.28407557999999966
35,ming,4,3,True,0.012227374000000069
36,ming,2,1,True,6.832399999900929e-05
37,ming,10,9,True,0.08511226499999935
38,ming,74,15,True,0.5520757209999996
39,ming,2,1,True,0.03352221500000141
40,ming,2,1,True,0.031930400999998554
41,ming,2,1,True,0.03726311399999993
42,ming,2,1,True,7.225599999927113e-05
43,ming,7,6,True,0.00242646799999946
44,ming,4,3,True,0.01816174999999909
45,ming,4,3,True,0.009706632000000326
46,ming,7,6,True,0.00620202400000025
47,ming,7,6,True,0.0001361140000000205
48,ming,2,1,True,0.030606560999999033
49,ming,3,2,True,0.007766756000000541
50,ming,4364,12,True,1.4379448149999998
51,ming,4,3,True,0.01861179799999846
52,ming,4,3,True,0.009362023999999636
53,ming,8,7,True,0.09665616000000021
54,ming,3,2,True,0.004429215000000042
55,ming,11,10,True,0.25067585100000045
56,ming,5,4,True,0.05606923499999894
57,ming,2,1,True,0.05055994800000008
58,ming,7,6,True,0.006785385999998894
59,ming,2,1,True,0.051037793000000775
60,ming,7,6,True,0.00023360300000163647
61,ming,5,4,True,0.061662653000000844
62,ming,8,7,True,0.06238985900000138
63,ming,3,2,True,0.009968874999998434
64,ming,5,4,True,0.11602152600000082
65,ming,2,1,True,0.033150771000000745
66,ming,2,1,True,7.634199999984048e-05
67,ming,3,2,True,0.007469457999999207
68,ming,7,6,True,0.00017663600000084045
69,ming,2586,3,True,0.9481824400000001
70,ming,4,3,True,0.009639712999998551
71,ming,2,1,True,6.281599999979903e-05
72,ming,3,2,True,0.012917972000000333
73,ming,2,1,True,0.05055965999999934
74,ming,7,6,True,0.00018752499999941108
75,ming,1000000,0,False,65.98621996
76,ming,8,7,True,0.0707821120000034
77,ming,2,1,True,0.03619421800000566
78,ming,2,1,True,0.05008978699999034
79,ming,6,5,True,0.028841014999997583
80,ming,7,6,True,0.00018179799999984425
81,ming,2,1,True,6.706300000303145e-05
82,ming,7,6,True,0.00016614099999401333
83,ming,2,1,True,0.04132004099999165
84,ming,3,2,True,0.003510150000010981
85,ming,2,1,True,6.773599999121416e-05
86,ming,6,5,True,0.07179532399999289
87,ming,7,6,True,0.00020303099999807728
88,ming,7,6,True,0.00014849699999786026
89,ming,8,7,True,0.04599928599999714
90,ming,4789,5,True,0.875836992999993
91,ming,3,2,True,0.019253294999998616
92,ming,8604,6,True,0.9782425420000038
93,ming,7,6,True,0.00017843200001266268
94,ming,19174,1,True,1.6979565910000076
95,ming,3,2,True,0.003940405000008695
96,ming,2,1,True,0.044865603000005194
97,ming,2,1,True,0.0437766350000004
98,ming,5364,3,True,0.8676213549999972
99,ming,3914,2,True,0.662978319000004
100,ming,5,4,True,0.015715212000003476
