query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.00027047599999985295
2,std,8,7,True,0.0013361280000001585
3,std,19,5,True,0.0033392729999999204
4,std,4,3,True,0.0004335439999998414
5,std,2,1,True,0.00017428600000002348
6,std,4,2,True,0.0004494780000001697
7,std,6,4,True,0.0014846490000000045
8,std,4,3,True,0.00041053799999968277
9,std,6,4,True,0.0010209500000000205
10,std,6,3,True,0.0006854180000006593
11,std,8,7,True,0.0010329829999999873
12,std,8,7,True,0.00010053600000059504
13,std,7,6,True,0.0013054189999994747
14,std,8,7,True,0.0003691909999998799
15,std,2,1,True,0.00023782700000030133
16,std,10,4,True,0.0016086589999995127
17,std,21,15,True,0.003594028999999388
18,std,2,1,True,0.0002870299999999659
19,std,2,1,True,4.3580999999903725e-05
20,std,516,5,True,0.060558236999999515
21,std,5,4,True,0.0006566169999997484
22,std,3,2,True,0.00031404699999981744
23,std,2,1,True,0.00017813299999946963
24,std,2,1,True,0.00022015899999949795
25,std,4650,6,True,0.3168143800000003
26,std,2,1,True,0.0003467319999996832
27,std,21,15,True,0.005595612999999666
28,std,21,15,True,0.0053875400000000795
29,std,8,7,True,0.0006336909999999918
30,std,8,7,True,0.0005897370000003122
31,std,2,1,True,0.0003647190000002354
32,std,2,1,True,0.0004073509999997782
33,std,3,2,True,0.00042123099999979985
34,std,10855,7,True,0.3310868960000004
35,std,4,3,True,0.0004461159999991082
36,std,2,1,True,4.3934000000689366e-05
37,std,10,9,True,0.0008366529999985772
38,std,24,15,True,0.003456794999999957
39,std,2,1,True,0.00028170499999902177
40,std,2,1,True,0.00024544299999895713
41,std,2,1,True,0.0003332359999994594
42,std,2,1,True,4.728200000059246e-05
43,std,8,7,True,0.00034761599999910686
44,std,4,3,True,0.000504263999999921
45,std,12,3,True,0.003021690000000632
46,std,8,7,True,0.00035163899999979265
47,std,8,7,True,0.00010026699999876598
48,std,2,1,True,0.00023275899999930516
49,std,3,2,True,0.0004925249999985226
50,std,14,13,True,0.0015148600000003398
51,std,4,3,True,0.0006282320000003949
52,std,17,3,True,0.0024657599999997615
53,std,105,9,True,0.004667829000000623
54,std,3,2,True,0.0003441800000008044
55,std,110,14,True,0.0018782339999994235
56,std,5,4,True,0.00072836799999898
57,std,2,1,True,0.0002641680000010638
58,std,8,7,True,0.0003248740000003636
59,std,2,1,True,0.00040052900000020486
60,std,8,7,True,9.341600000034589e-05
61,std,5,4,True,0.000858107000000885
62,std,10,9,True,0.0005584729999998927
63,std,3,2,True,0.000489908000000483
64,std,13,4,True,0.0021892060000006097
65,std,2,1,True,0.00019191300000009903
66,std,2,1,True,4.100099999959639e-05
67,std,6,3,True,0.000645714999999214
68,std,8,7,True,0.00033621500000080573
69,std,6,3,True,0.000934943000000743
70,std,4,3,True,0.0004175419999992158
71,std,2,1,True,0.00023831800000095882
72,std,73,2,True,0.008243669000000509
73,std,2,1,True,0.00031016600000022265
74,std,8,7,True,0.00010058800000045665
75,std,2644,6,True,0.21914118199999955
76,std,8,7,True,0.000743314999999356
77,std,2,1,True,0.0002876270000005121
78,std,2,1,True,0.0025719889999997747
79,std,195,5,True,0.00549143799999996
80,std,8,7,True,9.496000000019933e-05
81,std,2,1,True,4.0687000000261264e-05
82,std,8,7,True,8.025900000063757e-05
83,std,2,1,True,0.0002548430000004487
84,std,3,2,True,0.000503437999999079
85,std,2,1,True,0.00017168100000120035
86,std,6,5,True,0.0010204250000001025
87,std,8,7,True,0.00010191400000003625
88,std,8,7,True,0.00010804300000089029
89,std,105,9,True,0.0015545440000011013
90,std,49,5,True,0.008063421000001014
91,std,41,2,True,0.00655733199999986
92,std,204,6,True,0.008228360000000379
93,std,8,7,True,0.00010849499999920909
94,std,2,1,True,0.00024024999999916474
95,std,4,2,True,0.0006068930000004968
96,std,2,1,True,0.000281790999999032
97,std,2,1,True,0.00027404299999922443
98,std,6,3,True,0.0005322870000004087
99,std,3,2,True,0.00042500700000047686
100,std,6,5,True,0.0004685510000008719
