query,std reasoner,std nodes explored,std min depth,success,time
1,std,1,0,False,6.662500000054195e-05
2,std,1,0,False,4.650899999969482e-05
3,std,1,0,False,2.5766999999454754e-05
4,std,1,0,False,3.238599999999536e-05
5,std,1,0,False,2.541399999955729e-05
6,std,1,0,False,2.5206000000110862e-05
7,std,1,0,False,2.15729999997194e-05
8,std,1,0,False,3.052900000000136e-05
9,std,1,0,False,2.4242999999479764e-05
10,std,1,0,False,2.4497000000067715e-05
11,std,1000000,0,False,36.849230939
12,std,1,0,False,4.797500000108812e-05
13,std,1,0,False,2.7920999997377294e-05
14,std,1,0,False,3.7310999999817795e-05
15,std,1,0,False,1.9981000001223492e-05
16,std,1,0,False,1.8712999995784685e-05
17,std,1,0,False,3.079000000383303e-05
18,std,1,0,False,2.566199999876062e-05
19,std,1,0,False,1.8562000001054457e-05
20,std,2,1,True,0.0003162509999938834
21,std,1,0,False,2.7082999999095136e-05
22,std,1,0,False,2.2475000001520584e-05
23,std,2,1,True,0.0002517449999999144
24,std,1,0,False,3.040500000395241e-05
25,std,1,0,False,3.4168999995642935e-05
26,std,1,0,False,4.088399999346848e-05
27,std,1,0,False,2.0122000002231744e-05
28,std,1,0,False,3.467599999851245e-05
29,std,1000000,0,False,33.202195837
30,std,1,0,False,6.226499999684165e-05
31,std,1,0,False,2.2361000006299037e-05
32,std,1,0,False,2.3229999996488004e-05
33,std,1,0,False,2.1609000000921696e-05
34,std,1,0,False,2.844300000504063e-05
35,std,1,0,False,2.037999999515705e-05
36,std,1,0,False,2.1185000008472343e-05
37,std,1,0,False,2.3158000004741552e-05
38,std,1,0,False,2.6793000003522138e-05
39,std,1,0,False,2.5483000001713663e-05
40,std,1,0,False,1.9977999997422557e-05
41,std,1,0,False,2.1713999998951294e-05
42,std,1,0,False,2.2779999994781974e-05
43,std,1,0,False,3.1785000004447284e-05
44,std,1,0,False,3.109899999742538e-05
45,std,2,1,True,0.00030608200000870056
46,std,1,0,False,2.7409999987071387e-05
47,std,1,0,False,2.3464999998168423e-05
48,std,1,0,False,2.1611000008192605e-05
49,std,1,0,False,2.389200000152414e-05
50,std,1,0,False,2.5153999999361076e-05
51,std,1,0,False,2.5585000003047753e-05
52,std,1,0,False,2.0575999997163308e-05
53,std,1,0,False,3.196299999785879e-05
54,std,2,1,True,4.396699999631437e-05
55,std,1,0,False,2.4205999991977478e-05
56,std,1,0,False,2.141299999891544e-05
57,std,1,0,False,4.022800000313964e-05
58,std,1,0,False,2.3405999996839455e-05
59,std,1,0,False,2.647000000877142e-05
60,std,1,0,False,3.063000001191085e-05
61,std,1,0,False,1.997100000039609e-05
62,std,2,1,True,0.00024179700000104276
63,std,1,0,False,2.9957999998941887e-05
64,std,1,0,False,2.4484000007873874e-05
65,std,1,0,False,2.604899999880672e-05
66,std,1,0,False,3.368900000566555e-05
67,std,1,0,False,2.155199999265278e-05
68,std,1000000,0,False,43.3101425
69,std,1,0,False,4.703199999767094e-05
70,std,1,0,False,2.5078999996708262e-05
71,std,1,0,False,2.3728000002165572e-05
72,std,1,0,False,2.172900001085054e-05
73,std,1,0,False,3.246499998965646e-05
74,std,1,0,False,2.199399999369689e-05
75,std,1,0,False,2.212799999767867e-05
76,std,2,1,True,0.00033101799999712966
77,std,1,0,False,2.6683000001526125e-05
78,std,1,0,False,2.2160000000326363e-05
79,std,1,0,False,2.378099999589267e-05
80,std,1,0,False,3.079399999705856e-05
81,std,1,0,False,2.7407999994011334e-05
82,std,1,0,False,3.101800000138155e-05
83,std,1,0,False,2.1161000006486574e-05
84,std,2,1,True,0.00022407000000157495
85,std,1,0,False,2.5750999995466373e-05
86,std,1,0,False,2.3216000002435067e-05
87,std,1,0,False,2.4616999994009348e-05
88,std,1,0,False,2.3408999993534962e-05
89,std,1,0,False,3.498199998830387e-05
90,std,1,0,False,2.8811000007067378e-05
91,std,1,0,False,2.175899999201647e-05
92,std,1,0,False,2.201499999898715e-05
93,std,1,0,False,2.308200001266414e-05
94,std,1000000,0,False,42.91707346199999
95,std,1,0,False,4.29030000077546e-05
96,std,1,0,False,3.553100000885934e-05
97,std,1,0,False,2.102899998135399e-05
98,std,1,0,False,2.221500000132437e-05
99,std,1,0,False,2.0238000018935054e-05
100,std,1,0,False,2.3236999993514473e-05
