query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,3,2,True,0.49618063000000134
2,ming,4,3,True,0.1106051379999986
3,ming,3,2,True,0.06243433800000098
4,ming,3,2,True,0.031624980000000136
5,ming,631,5,True,5.313381137
6,ming,2,1,True,0.08839085299999994
7,ming,2,1,True,0.008181143999999918
8,ming,3,2,True,0.007123623000000023
9,ming,841,3,True,1.0613609570000015
10,ming,2,1,True,0.079348435
11,ming,5,4,True,0.11768495200000118
12,ming,3,2,True,0.019524657999999917
13,ming,2,1,True,0.0967798730000009
14,ming,3,2,True,0.019539036000001175
15,ming,20,5,True,2.3853357539999998
16,ming,2,1,True,0.07506756300000106
17,ming,3,2,True,0.012705143999998114
18,ming,739,10,True,6.714789593999999
19,ming,4,3,True,0.01865501500000022
20,ming,70,6,True,1.7977597549999977
21,ming,2,1,True,0.01477999600000146
22,ming,3,2,True,0.01983326999999946
23,ming,4,3,True,0.022814279000002102
24,ming,2,1,True,0.09711404599999796
25,ming,6,5,True,0.18210450800000189
26,ming,9,8,True,0.8124524909999984
27,ming,1546,2,True,6.759894509000002
28,ming,9,8,True,0.059070527999999456
29,ming,21,7,True,1.4774119900000002
30,ming,10,9,True,0.09329765500000065
31,ming,7,6,True,0.024761325000000056
32,ming,3,2,True,0.03324858099999517
33,ming,2,1,True,9.186300000152414e-05
34,ming,83330,0,False,44.33640762900001
35,ming,144,9,True,1.1283850290000004
36,ming,3,2,True,0.017627832000002286
37,ming,2,1,True,0.09046895499999152
38,ming,2,1,True,0.01668363100000647
39,ming,6,4,True,0.24260240499999952
40,ming,8,7,True,0.529843451000005
41,ming,5,4,True,0.08021535899999321
42,ming,2,1,True,0.0025301769999970247
43,ming,3,2,True,0.006966266999995696
44,ming,3,2,True,0.007852402000011693
45,ming,4,3,True,0.006365584999997509
46,ming,2,1,True,0.11340415600000142
47,ming,3,2,True,0.020288684000007606
48,ming,4,3,True,0.0361409039999927
49,ming,3,2,True,0.015266961000008905
50,ming,3,2,True,0.014834528999998042
51,ming,2,1,True,0.04704033099999094
52,ming,80,4,True,0.19073371199999656
53,ming,1243,2,True,7.655386589000003
54,ming,3,2,True,0.03624361200000692
55,ming,4,3,True,0.1325677880000029
56,ming,4,3,True,0.0714003329999997
57,ming,2,1,True,0.013129371000005108
58,ming,3,2,True,0.01791379600000198
59,ming,3,2,True,0.06680489600000783
60,ming,4,3,True,0.05411574699999733
61,ming,3,2,True,0.07375284600000498
62,ming,2,1,True,0.10790887299999952
63,ming,2,1,True,0.1151084400000002
64,ming,790,4,True,0.941137433999998
65,ming,3,2,True,0.02190533499999958
66,ming,2,1,True,0.01667969199999675
67,ming,497,6,True,25.275369139999995
68,ming,3,2,True,0.02249123500000394
69,ming,3,2,True,0.013015817999999513
70,ming,3,2,True,0.012287838999995415
71,ming,3,2,True,0.006003710000001661
72,ming,21,6,True,1.7178682629999997
73,ming,2,1,True,0.013415945000005536
74,ming,2,1,True,0.07897238299999287
75,ming,34619,6,True,22.72106707800002
76,ming,1554,5,True,3.9854185229999928
77,ming,3,2,True,0.015358500999980151
78,ming,8,7,True,0.4553133770000102
79,ming,2,1,True,0.008719893999995065
80,ming,2,1,True,0.07897670700000958
81,ming,3,2,True,0.10860315100001117
82,ming,18,3,True,1.0803172589999974
83,ming,137,9,True,1.8077498309999953
84,ming,2,1,True,0.02001843200000053
85,ming,4,3,True,0.14295609699999545
86,ming,7,6,True,0.166958276999992
87,ming,2,1,True,0.0944922399999939
88,ming,3,2,True,0.05416178199999422
89,ming,4,3,True,0.01905395299999668
90,ming,2,1,True,0.10044688100001053
91,ming,5,3,True,0.0869803440000112
92,ming,766,2,True,0.9884020460000045
93,ming,3,2,True,0.003963146999979017
94,ming,11,10,True,0.7336629970000104
95,ming,20,4,True,1.0525528579999843
96,ming,2,1,True,0.08726747599999385
97,ming,4,3,True,0.04871575899997538
98,ming,5,4,True,0.05309678199998302
99,ming,4,3,True,0.024802871000019877
100,ming,6,2,True,0.014238811000012674
